Name,GWEIGHT,G0.05,G0.1,G0.15,G0.2,G0.25,G0.3,N0.05,N0.1,N0.15,N0.2,N0.25,N0.3,P0.05,P0.1,P0.15,P0.2,P0.25,P0.3,S0.05,S0.1,S0.15,S0.2,S0.25,S0.3,L0.05,L0.1,L0.15,L0.2,L0.25,L0.3,U0.05,U0.1,U0.15,U0.2,U0.25,U0.3
          : biological process unknown ,1,-0.22,-0.18,0.27,0.18,0.03,-0.04,0.26,0.15,0.04,-0.07,0.12,-0.08,-0.55,-0.67,-0.47,-0.72,-0.47,-0.63,0.25,0.18,0.25,0.04,0.25,-0.29,-0.1,0.11,-0.04,-0.13,-0.08,0.1,-0.02,0.04,0.16,0.02,-0.03,-0.22
AMN1       : negative regulation of exit from mitosis* ,1,0.18,0.61,1.55,1.34,0.23,-0.03,-0.59,-0.02,0.67,0.21,-0.04,-0.05,-1.51,-1.33,-1.03,-0.8,-0.42,-0.81,-0.08,0.36,-0.18,0,-0.09,0.02,-1.09,-0.09,-0.35,-0.27,-0.07,-0.11,-1.15,0.41,0.28,0,0.17,-0.01
"SCW11      : cytokinesis, completion of separation ",1,-0.67,-0.47,1.16,1.05,-0.18,-0.68,-0.25,0.26,0,-0.03,-0.72,-0.33,-1.5,-1.31,-0.91,-0.79,-0.72,-0.7,-0.06,0.53,-0.38,0.2,0.06,0.49,-1.03,-0.42,-0.11,0.01,-0.27,-0.51,-1.48,-0.43,-0.27,-0.32,-0.24,-0.15
DSE2       : cell wall organization and biogenesis* ,1,-0.59,-0.17,1.17,0.85,-0.12,-0.61,-0.39,0.52,0.48,0.42,-0.5,-0.39,-1.05,-0.51,-0.11,0.17,-0.15,-0.51,-0.15,0.85,0.08,0.23,0,0.37,-0.77,-0.2,-0.39,-0.42,-0.48,-0.65,-1.24,0.41,0.18,0.09,0.13,-0.04
COX15      : cytochrome c oxidase complex assembly* ,1,-0.28,-0.81,-0.39,0.24,0.01,0.01,0.46,0.79,0.08,0.04,-0.21,-0.2,-0.67,-0.17,-0.24,-0.52,-0.03,-0.24,-0.36,0.48,0.22,0.5,0.29,0.38,-1.02,-0.47,-0.18,-0.02,0.15,-0.18,-1.91,-0.31,0.09,-0.24,-0.03,0.19
SPE1       : pantothenate biosynthesis* ,1,-0.19,0.24,0.03,0.17,0,-0.01,0.4,0.37,0.05,-0.28,-0.13,0.19,-0.68,-0.26,-0.47,-0.32,-0.04,-0.5,-0.63,0.33,0.22,-0.1,-0.12,-0.28,-0.11,0.31,0.04,-0.07,0.06,-0.2,-1.53,-0.43,-0.46,-0.73,-0.48,-0.25
MTF1       : transcription from mitochondrial promoter ,1,-0.42,-0.43,-0.36,-0.12,0.05,0.24,-0.53,0.01,0.38,0.56,0.2,0.01,-0.77,-0.72,-0.31,-0.7,-0.26,-0.32,0.72,-0.12,-0.07,-0.18,0.11,-0.22,-0.82,-0.29,-0.07,-0.14,-0.03,-0.04,-0.62,-0.53,-0.3,-0.17,-0.44,-0.35
KSS1       : invasive growth (sensu Saccharomyces)* ,1,-0.76,-0.32,-0.05,-0.27,-0.31,-0.01,-0.07,-0.49,-0.38,-0.65,0.01,0.07,-0.83,-0.25,-0.54,-0.42,-0.06,-0.52,0.24,-0.05,-0.19,-0.18,-0.07,-0.19,-0.6,-0.16,0.15,0.06,0.2,-0.11,-0.8,-0.18,-0.05,-0.26,-0.58,-0.18
          : biological process unknown ,1,-0.91,-0.43,-0.05,-0.09,-0.27,-0.45,0.11,0.17,-0.02,-0.28,-0.04,-0.2,-0.53,-0.53,-0.47,-0.2,-0.03,-0.67,0.06,-0.21,-0.25,-0.36,-0.06,-0.19,-0.67,-0.13,-0.08,-0.12,-0.13,-0.05,-1.04,-0.59,-0.47,-0.29,-0.33,-0.2
          : biological process unknown ,1,-0.47,-0.43,-0.15,0.08,-0.26,-0.25,-0.05,0.19,-0.14,-0.37,-0.15,-0.02,-0.59,-0.34,-0.33,-0.54,-0.19,-0.18,0.05,-0.17,-0.05,0.05,0.06,-0.25,-0.4,-0.13,0.02,-0.17,-0.3,-0.41,-0.67,-0.01,-0.2,-0.36,-0.3,-0.04
YAP7       : positive regulation of transcription from RNA polymerase II promoter ,1,-0.51,-0.04,0.06,0.26,-0.19,-0.22,0.42,0.24,-0.04,-0.25,0.07,-0.18,-0.93,-0.65,-0.64,-0.66,-0.33,-0.72,0.24,0.08,0.22,0.2,0.09,-0.21,-0.41,-0.02,-0.16,-0.13,-0.13,-0.03,-1.09,-0.26,0.02,-0.09,-0.43,-0.21
          : proteolysis and peptidolysis ,1,-1.01,-0.55,-0.72,-0.54,-0.55,-0.19,0.81,0.57,0.38,-0.45,0.4,0.24,-1.39,-0.55,-0.61,-0.27,0.25,-0.66,NA,0.39,0.2,0.06,-0.03,-0.13,-1.61,-0.33,-0.08,-0.25,0.12,-0.09,NA,-0.23,-0.32,-0.49,0.01,0.24
YVC1       : cation homeostasis ,1,-0.4,-0.14,-0.06,0,-0.22,-0.07,0.67,0.55,0.4,-0.19,-0.19,0.2,-1.42,-0.71,-0.94,-0.79,-0.18,-0.86,0.22,0.49,-0.14,-0.23,-0.15,0.08,-1.51,-0.32,-0.1,-0.15,0.03,0.09,NA,-0.39,-0.3,-0.28,-0.01,0.14
"CDC40      : nuclear mRNA splicing, via spliceosome* ",1,-0.19,-0.08,-0.16,-0.1,-0.12,-0.1,0.04,0.03,0.28,0.1,0.14,0.04,-0.44,-0.43,-0.32,-0.25,0.01,-0.3,-0.07,-0.04,0.14,-0.08,0.1,0.02,-0.3,-0.08,-0.38,-0.19,-0.01,0.01,-1.07,-0.01,0.05,-0.1,-0.04,0.12
          : biological process unknown ,1,-0.1,-0.02,-0.37,-0.09,-0.14,0.1,0.08,0.01,0.08,-0.18,-0.09,0.08,-0.27,-0.2,-0.37,-0.28,-0.34,-0.47,0.26,0.05,-0.19,-0.09,-0.11,0.18,-0.66,-0.07,-0.22,-0.04,-0.1,0.05,-1.19,0.15,-0.09,-0.17,0.05,0.12
RMD1       : biological process unknown ,1,-0.22,-0.03,-0.26,-0.19,-0.1,0.15,0.24,0,0.15,0.22,0.33,0.03,-0.19,-0.08,-0.09,-0.15,-0.21,-0.39,0.01,0.21,-0.01,0.09,0,0.04,-0.47,-0.2,-0.21,-0.16,-0.1,-0.03,-0.76,-0.03,-0.13,-0.2,-0.13,-0.03
PCL6       : regulation of glycogen biosynthesis* ,1,-0.25,-0.35,0.04,0.15,0.02,0.09,0.15,-0.22,0.08,0.08,0.19,0.09,-0.24,-0.34,-0.4,-0.44,-0.31,-0.65,-0.1,0.03,0.22,0.17,0.17,0.08,-0.61,-0.29,0.12,0.02,0.04,0.13,-1.1,-0.19,-0.12,0.08,0,0.06
AI4        : RNA splicing* ,1,-0.36,-0.39,0.42,-0.09,0,0.12,0.18,-0.09,0.56,0.28,0.53,-0.15,-0.37,-0.62,-0.66,-0.38,-0.69,-0.61,-0.07,0.54,0.69,0.18,0.22,-0.23,-0.58,-0.01,0.49,0.22,-0.09,-0.8,-1.59,-1.24,-0.65,-0.62,-0.61,-0.81
GGC1       : mitochondrial genome maintenance* ,1,0.76,0.33,-0.21,-0.16,0,0.09,-0.18,0.56,0.03,0.26,0.19,0.35,-1.99,-1.76,-1.49,-1.65,-1,-0.66,0.4,0.31,-0.23,-0.05,-0.12,-0.02,-0.15,0.1,-0.15,-0.08,-0.72,-1.25,-2.31,-1.7,-1.37,-1.24,-0.73,-0.83
SUL1       : sulfate transport ,1,-0.32,-0.54,-0.37,-0.64,-0.09,-0.1,-0.76,-0.57,-0.81,-0.62,-0.16,0.03,-6.5,-6.34,-5.13,-4.39,-2.14,-0.57,2.4,2.18,1.62,1.52,1.43,1.25,-1.83,-1.42,-0.56,-0.77,-0.95,-1.32,-5.55,-4.59,-3.34,-1.98,-3.09,-1.79
RAD57      : telomerase-independent telomere maintenance* ,1,-0.19,0.08,-0.2,-0.16,-0.02,-0.05,-0.28,-0.2,0.33,0.22,0.1,-0.1,-0.88,-0.71,-0.78,-0.61,-0.46,-0.62,-0.29,-0.08,0.2,0.02,0.11,0,-0.39,-0.15,-0.33,-0.14,-0.27,-0.2,-1.01,-0.36,-0.35,-0.13,-0.32,-0.26
          :  ,1,-0.48,-0.29,-0.27,-0.2,0.05,0.24,-1.09,-0.34,0.19,0.36,0.27,0.08,-1.3,-1.33,-1.11,-0.64,-0.5,0.33,0.9,0.99,1.42,0.89,0.58,0.2,-0.99,-0.54,-0.34,-0.29,-0.02,0,NA,-1.22,-0.72,-0.54,-0.49,-0.14
PER1       : response to unfolded protein* ,1,-0.21,-0.16,-0.04,0.25,0,-0.12,-0.56,0.16,0.12,0.06,-0.18,-0.16,-0.73,-0.71,-0.86,-0.59,-0.77,-0.7,-0.67,0.21,0.12,0.35,0.12,0.46,-0.71,-0.01,-0.24,0.11,0.08,-0.02,-0.53,-0.15,-0.03,-0.13,0.16,0.32
YHC3       : intracellular protein transport* ,1,0.02,-0.27,-0.33,0.03,-0.06,-0.18,-0.3,0.24,0.52,0.2,0.19,0.02,-0.68,-0.65,-0.68,-0.35,-0.51,-0.46,-0.27,0.09,0.08,0.28,0,0.41,-0.46,-0.14,-0.22,0.04,0.07,-0.14,-0.79,-0.28,-0.29,-0.33,0.12,0.33
SGE1       : response to drug* ,1,0.22,-0.04,0.11,0.07,-0.1,-0.06,-0.24,0.35,0.1,0.09,0.2,0.33,-0.7,-0.88,-0.82,-0.93,-0.87,-0.81,-0.36,-0.17,-0.14,-0.05,-0.32,0.22,-0.66,-0.37,-0.9,-0.21,0.26,0.04,-1.48,-0.67,-0.68,-0.33,0.09,0.34
HNM1       : choline transport ,1,-0.67,-0.23,-0.27,-0.16,-0.02,-0.09,0.32,0.56,0.54,0.62,0.41,0.31,-1.08,-0.48,-0.53,-0.29,-0.57,-0.39,-0.53,0.31,-0.03,-0.03,-0.16,-0.04,-0.36,-0.43,-0.46,-0.54,-0.45,-0.5,-1,-0.18,-0.47,-0.33,-0.41,-0.16
SWI1       : chromatin remodeling ,1,-0.23,-0.27,0.18,0.12,0.04,-0.11,0.14,0.14,0.39,0.09,-0.06,0.05,-0.52,-0.57,-0.5,-0.35,-0.5,-0.47,-0.57,-0.2,-0.45,-0.27,-0.35,-0.13,-0.15,-0.14,0.11,0,-0.06,-0.08,-0.68,-0.08,-0.23,-0.34,-0.06,-0.18
"NAM8       : nuclear mRNA splicing, via spliceosome* ",1,-0.24,-0.3,-0.13,0.32,0.13,-0.1,0.29,0.46,0,-0.04,-0.08,0.07,-0.64,-0.41,-0.39,-0.22,0,-0.43,-1.08,-0.08,-0.48,-0.04,-0.22,0.22,-0.6,-0.14,-0.11,-0.21,-0.17,-0.27,-1.27,0.01,-0.03,-0.26,0.18,0.27
          : biological process unknown ,1,0.61,0.11,0.06,0.22,-0.12,-0.31,-0.25,0.28,-0.45,-0.07,-0.61,-0.35,-0.64,-0.86,-0.86,-0.54,-0.85,-0.63,-0.38,0.38,-0.21,-0.09,-0.54,0.05,-0.24,-0.32,-0.31,-0.21,-0.19,-0.49,-1.47,0.26,0.03,-0.11,0.37,0.1
BGL2       : cell wall organization and biogenesis ,1,-0.08,-0.26,0.08,0.07,-0.2,-0.58,-0.52,-0.08,-0.47,-0.42,-0.42,-0.53,-0.19,-0.35,-0.35,-0.17,-0.29,-0.47,-0.35,0.52,-0.11,0.07,-0.2,0.13,-0.27,0.01,-0.21,-0.15,-0.12,-0.47,-0.96,0.2,-0.19,-0.38,-0.01,0
ACT1       : cell wall organization and biogenesis* ,1,-0.04,-0.55,0.03,0.2,-0.23,-0.56,-0.17,-0.06,-0.76,-0.59,-0.49,-0.37,-0.44,-0.47,-0.67,-0.44,-0.3,-0.38,-0.09,0,-0.5,-0.25,-0.53,-0.18,-0.24,-0.15,-0.21,-0.18,-0.16,-0.74,-1.42,-0.5,-0.36,-0.78,-0.17,-0.16
          : biological process unknown ,1,-0.19,-0.4,-0.09,-0.03,-0.19,-0.47,-0.33,0.04,0.07,-0.2,-0.26,-0.18,-0.02,-0.13,-0.4,-0.12,-0.37,-0.29,-0.31,0,-0.03,0.04,-0.13,0.09,-0.69,-0.33,-0.13,0,0.04,-0.4,-0.97,-0.4,-0.44,-0.32,0,0.12
SFL1       : negative regulation of transcription from RNA polymerase II promoter ,1,-0.18,-0.73,0,0.06,0.13,-0.46,0.1,0.08,-0.39,-0.5,-0.86,-0.71,-0.83,NA,-0.53,-0.24,NA,NA,NA,0.32,-0.33,0.37,-0.35,-0.18,-0.98,-0.11,0.04,0.15,-0.19,-0.11,NA,-0.06,0.01,-0.12,-0.02,-0.16
OYE3       : biological process unknown ,1,-0.9,-1.04,-1.35,-0.61,0.16,-0.99,-0.75,-1.63,-2.54,-2.38,-2.42,-2.51,-1.73,-2.21,-1.78,-2.11,-1.73,-2.1,1.37,0.88,1.15,0.5,0.2,-0.4,-0.87,-0.8,-0.92,-1.27,-1.31,-1.58,-0.17,-0.96,-0.88,-1.86,-2.35,-1.79
          :  ,1,NA,-0.48,-0.24,NA,-0.05,-0.1,-0.59,-0.28,-0.6,NA,-0.4,-0.12,-0.45,-0.63,NA,NA,NA,NA,0.49,0.22,0.28,-0.09,-0.13,0.29,-0.1,-0.11,0.02,0.09,-0.11,-0.16,0.17,-0.22,0.04,-0.22,-0.08,0.08
          :  ,1,-0.95,-0.51,0.49,0.64,0.15,-0.27,-1.83,-1.77,-2.55,-2.04,-1.89,-1.4,-2.88,-2.53,-2.27,-2.46,-1.67,-1.08,0.64,0.4,0.97,0.91,0.76,0.77,0.64,0.48,0.72,0.48,-0.2,-0.07,1.14,0.44,0.29,-0.18,-0.26,-0.54
MMP1       : S-methylmethionine transport ,1,-0.58,0.05,0.48,0.53,0.33,0.03,-1.29,-1.64,-1.3,-1.18,-0.65,-0.36,-4.96,-4.64,-3.79,-3.48,-2.39,-2.05,2.08,2.16,2.08,1.54,1.29,0.91,-0.53,0.26,0.52,-0.03,0.16,-0.44,0.7,0.16,-0.9,-0.67,-1.19,-0.77
MHT1       : sulfur amino acid metabolism ,1,-1.38,-0.72,-0.24,0.23,0.29,0.21,-2.51,-2.58,-1.89,-1.69,-0.83,-0.37,-5.36,-5.16,-4.23,-3.96,-2.62,-1.97,1.5,2.16,2.18,1.9,1.93,1.39,-1.83,-1.34,-0.83,-0.79,-0.11,-0.08,-1,-1.39,-0.6,-0.57,-0.73,-0.38
SUL2       : sulfate transport ,1,-1.14,-0.95,-1.07,-0.81,-0.52,-0.37,-0.52,-0.72,-1.11,-1.12,-0.99,-0.35,-1.75,-1.53,-1.44,-0.87,-0.41,0.08,0.55,1.28,0.81,0.88,0.72,0.79,-0.18,-0.26,-0.16,-0.31,-0.33,-0.55,-0.52,-0.46,-0.73,-0.76,-0.65,-0.48
IPP1       : phosphate metabolism ,1,-0.55,-0.88,-0.2,0.04,-0.06,0.01,-0.12,-0.18,-0.8,-0.59,-0.53,0.05,-0.83,-0.77,-0.82,-0.7,-0.27,-0.3,0.44,-0.2,0.14,0.14,0.14,0.02,-0.76,-0.68,-0.45,-0.43,-0.29,-0.03,-0.8,0.03,-0.25,-0.25,-0.14,-0.07
CWP1       : cell wall organization and biogenesis ,1,-0.91,-1.28,-0.17,0.51,0.7,0.2,-2.15,-2.39,-2.67,-2.4,-2,-1.58,-3.42,-3.21,-2.94,-3.47,-3.29,-2.63,-0.98,-0.51,1.08,0.92,0.77,0.83,-2.74,-2.1,-2.97,-1.81,0.49,0.85,-2.38,-1.92,-1.25,-0.16,0.43,1.12
SNF11      : chromatin remodeling ,1,0.15,0.49,-0.02,-0.16,-0.12,-0.15,-0.2,0.08,-0.07,-0.26,-0.05,-0.22,-0.68,-0.52,-0.42,-0.18,-0.42,-0.54,0.05,0.12,-0.3,-0.07,-0.05,-0.18,-0.82,-0.45,-0.39,-0.23,-0.16,-0.15,-0.18,-0.35,-0.21,-0.08,-0.23,-0.26
PEX25      : peroxisome organization and biogenesis* ,1,-0.2,-0.23,-0.13,0.03,-0.11,-0.14,-0.12,0.02,0.24,-0.05,-0.13,-0.21,-0.3,-0.19,-0.06,-0.13,-0.12,-0.31,-0.18,0.02,0.2,0.08,-0.01,-0.13,-0.44,-0.2,-0.04,0.05,-0.07,0.06,-0.23,-0.02,-0.17,0.01,-0.11,-0.19
"ELO1       : fatty acid elongation, unsaturated fatty acid ",1,-0.37,-0.17,-0.42,-0.03,0.26,0.01,-0.18,0.22,0.25,-0.13,-0.22,-0.47,0,-0.36,-0.91,-0.59,-1.1,-0.94,-0.25,0.27,0.06,0.13,0.03,0.31,-0.79,-0.48,-0.98,-0.75,-0.32,-0.38,-0.22,-0.09,-0.03,-0.04,0.35,0.18
          : transport* ,1,0.14,0.03,-0.1,0.06,0,-0.1,-0.13,0.32,-0.02,-0.2,-0.3,-0.3,-0.01,-0.35,-0.2,-0.14,-0.26,0.05,-0.56,-0.21,-0.5,-0.21,-0.36,0.05,-0.23,-0.28,-0.27,-0.03,-0.14,-0.24,-0.34,-0.3,-0.4,-0.32,-0.09,0.02
CDC13      : telomere maintenance* ,1,-0.79,NA,-0.52,-0.05,-0.49,0.13,0.21,0.46,-0.34,0.01,0.01,-0.05,-0.61,-0.32,0.25,0.09,0.01,-0.01,NA,0.19,NA,0.06,-0.08,0.06,-0.02,-0.07,0,0.08,0.32,0.23,NA,-0.3,-0.28,0.09,-0.04,-0.09
FKH1       : pseudohyphal growth* ,1,-0.57,-0.06,-0.21,-0.03,0.16,0.11,0.33,0.28,-0.46,-0.3,-0.23,0.04,-0.59,-0.26,-0.19,-0.11,0.24,0.25,0.03,-0.12,0.05,0,-0.04,0.05,-0.33,-0.12,0.21,0.14,0.07,0.24,-0.07,0.11,0.1,0.05,-0.08,0.07
SWD1       : chromatin silencing at telomere* ,1,-0.41,-0.11,-0.5,-0.21,-0.1,-0.08,0.11,0.01,-0.04,0,-0.17,0.05,-0.69,-0.44,-0.22,-0.05,0.23,0.48,-0.09,-0.18,-0.11,-0.05,-0.09,0.17,-0.29,0.08,-0.12,0.07,-0.17,0.02,-0.42,0.1,-0.05,-0.17,-0.07,0.07
          : biological process unknown ,1,-0.19,-0.26,-0.85,-0.86,-0.22,0.07,0.5,0.66,-0.34,-0.52,-0.22,0.27,-1.1,-0.76,-0.6,-0.3,0.37,0.32,-0.83,0.08,-0.54,-0.39,-0.53,-0.19,-0.82,-0.47,0.32,0.2,0.17,-0.03,-0.56,-0.43,-0.45,-0.41,-0.11,0.1
HOF1       : cytokinesis ,1,-0.72,-0.43,-0.5,-0.38,0.17,-0.04,-0.06,0.01,-0.22,-0.1,0.21,0.14,-0.6,-0.16,0.12,-0.01,0.1,-0.14,-0.33,-0.52,-0.19,-0.24,-0.11,-0.2,-0.85,-0.54,0.26,0.12,0,0.01,-0.15,-0.39,-0.21,0.08,-0.03,-0.18
HOC1       : cell wall mannoprotein biosynthesis* ,1,-0.42,-0.79,-0.41,-0.47,-0.43,-0.23,0.44,0.09,-0.5,-0.23,-0.08,-0.04,-0.39,-0.21,0.02,-0.24,0.06,0.03,-0.37,-0.17,-0.26,-0.09,-0.02,-0.07,-0.21,-0.22,0.23,0.17,-0.08,0.17,-0.32,0.02,-0.09,0,-0.09,0.04
BNI5       : cytokinesis* ,1,-0.4,-0.52,-0.46,-0.35,-0.25,-0.12,0.24,0.1,-0.09,0.14,0.22,-0.03,-0.14,-0.15,0.14,-0.43,0.03,-0.2,-0.25,-0.07,0.02,0.09,0.29,-0.06,-0.32,-0.22,0.14,0.08,0,0.1,-0.66,-0.13,0.19,0.29,0.05,-0.05
CSN12      : adaptation to pheromone during conjugation with cellular fusion ,1,-0.49,-0.44,-0.32,-0.18,-0.28,-0.28,0.03,0.14,0.16,0.22,-0.12,-0.14,-0.17,-0.12,0.03,-0.28,-0.26,-0.12,-0.28,-0.18,-0.12,-0.08,0.08,-0.04,-0.31,-0.2,-0.08,-0.13,-0.14,-0.04,-0.16,0.03,-0.07,0.09,-0.03,0.01
PGS1       : phospholipid biosynthesis ,1,-0.19,-0.22,0.27,0.38,-0.02,-0.02,0.09,-0.11,-0.72,0,0.02,-0.03,0.46,-0.29,-0.12,-0.26,-0.26,-0.42,-0.15,-0.37,-0.22,-0.14,-0.14,-0.15,-0.17,-0.42,-0.2,-0.1,-0.22,-0.22,-0.65,-0.44,-0.27,-0.15,-0.2,-0.17
MLP2       : mRNA-nucleus export* ,1,-0.37,-0.4,-0.08,-0.11,-0.17,-0.03,-0.02,-0.11,-0.37,-0.03,0.17,0.18,0.11,0.01,0.08,-0.32,-0.22,-0.48,0.18,-0.27,-0.11,-0.24,-0.06,-0.19,-0.2,0.01,-0.38,-0.44,-0.16,-0.18,-0.27,-0.03,-0.02,-0.19,-0.12,0
HRP1       : mRNA polyadenylylation* ,1,-0.35,-0.42,0.04,0.22,-0.31,-0.37,-0.08,-0.41,-0.47,-0.15,0.02,-0.26,-0.65,-0.78,-0.47,-0.44,-0.28,-3.02,-0.5,-0.21,-0.19,-0.2,-0.01,-0.16,-0.62,-0.34,-0.41,-0.58,-0.32,-0.3,-1.13,-0.47,-0.09,-0.23,-0.12,-0.38
          : biological process unknown ,1,-0.08,-0.34,-0.02,-0.12,-0.22,0.01,-0.17,-0.32,-0.17,0.1,-0.04,-0.18,-0.16,-0.21,-0.13,-0.2,-0.07,-0.94,-0.52,-0.43,-0.08,-0.18,0.07,-0.45,0.05,-0.03,-0.28,-0.35,-0.15,-0.12,-0.37,-0.23,-0.16,-0.38,-0.15,-0.11
SEC39      : secretory pathway ,1,-0.29,-0.09,0.11,-0.01,-0.14,-0.2,-0.08,-0.25,0.04,-0.23,-0.17,-0.17,-0.04,-0.04,0.01,-0.18,0.02,-0.38,-0.38,-0.04,-0.18,-0.13,0.01,-0.07,0.09,-0.05,0.07,-0.05,-0.02,0.03,-0.21,-0.06,-0.09,0.07,-0.09,-0.07
ECM31      : pantothenate biosynthesis ,1,-0.15,-0.17,-0.14,0,0.04,0.21,-0.83,-0.69,-0.18,0.1,-0.22,0.01,0.14,-0.01,0,-0.21,-0.08,0.37,-0.6,-0.7,-0.18,-0.09,0.07,0.02,0.13,0.42,0.44,0.29,-0.01,0.21,0.21,-0.17,0,0.06,0.06,-0.11
          : biological process unknown ,1,-0.67,-0.42,0.18,-0.29,-0.24,0.09,-1.31,-0.93,-0.11,-0.08,0.46,0.27,0.7,0.7,0.75,0.6,0.41,0.36,-0.7,-0.78,-0.83,-0.89,-0.86,-0.89,-0.08,0.06,0.75,0.47,0.69,0.2,-1.12,-0.95,-0.33,0.53,0.18,-0.05
          : biological process unknown ,1,-1.06,-0.38,0.02,-0.4,-0.11,0.71,-2.36,-1.79,-0.66,-0.36,0.45,0.75,-0.54,-0.07,-0.16,-0.12,-0.15,0.28,-1.56,-1.08,-0.97,-0.98,-0.81,-0.63,-0.57,0.27,0.77,0.9,1.25,1.03,NA,-1.36,-0.82,0.45,0.03,0.35
ADE4       : 'de novo' IMP biosynthesis* ,1,-0.06,-0.04,-0.33,-0.37,-0.22,0.05,-0.28,-0.26,-0.05,-0.12,-0.09,-0.17,-0.46,-0.25,-0.1,-0.04,0.21,0.46,-0.37,-0.44,-0.34,-0.38,-0.11,-0.43,-0.27,0.32,0.22,0.22,0.32,0.38,-0.72,-0.55,-0.13,0.16,-0.16,-0.03
ABC1       : ubiquinone biosynthesis ,1,-0.05,-0.28,-0.37,-0.31,0.1,0.26,0,0.07,-0.12,0.07,0.17,0.25,-0.15,-0.19,-0.24,-0.58,-0.32,-0.14,0.07,-0.52,-0.17,-0.38,-0.16,-0.27,-0.37,-0.16,-0.1,0.08,0.12,0.16,-0.32,-0.46,-0.2,-0.08,-0.07,0.07
